blind_id,case_id,persona,architecture,student_leg,claude_R1,claude_R2,claude_R3,claude_R4,claude_R5,claude_R6,gemini_R1,gemini_R2,gemini_R3,gemini_R4,gemini_R5,gemini_R6,judge_provider,judge_model,pass1_error,pass2_error,file_path
Ddd6c2ab8cd,case_8,traditional,baseline,leg_a,2,1,2,4,2,4,1,1,2,5,1,4,gemini,gemini-2.5-pro,,,dialogues/case_8__traditional__baseline__leg_a.json
Dea641b0e60,case_4,constructive,pure_ai,leg_a,4,3,3,5,4,4,5,5,4,5,5,5,gemini,gemini-2.5-pro,,,dialogues/case_4__constructive__pure_ai__leg_a.json
Dbcbc03535f,case_3,traditional,baseline,leg_b,2,1,2,4,2,2,2,1,2,5,4,5,gemini,gemini-2.5-pro,,,dialogues/case_3__traditional__baseline__leg_b.json
Dde4277de56,case_11,experiential,hybrid,leg_a,2,2,2,3,2,4,3,1,2,5,2,5,gemini,gemini-2.5-pro,,,dialogues/case_11__experiential__hybrid__leg_a.json
D810ba45972,case_8,traditional,hybrid,leg_b,2,2,3,5,4,5,3,2,2,5,5,5,gemini,gemini-2.5-pro,,,dialogues/case_8__traditional__hybrid__leg_b.json
De0c6abb8fe,case_7,socratic,pure_cbr_llm,leg_b,2,2,2,5,5,5,3,4,4,5,5,4,gemini,gemini-2.5-pro,,,dialogues/case_7__socratic__pure_cbr_llm__leg_b.json
Dc2fc78d5fa,case_24,traditional,pure_cbr_llm,leg_b,2,3,2,5,3,2,3,2,2,5,3,1,gemini,gemini-2.5-pro,,,dialogues/case_24__traditional__pure_cbr_llm__leg_b.json
D63ccb00213,case_12,rule_based,baseline,leg_a,3,1,2,5,4,5,2,1,2,5,4,3,gemini,gemini-2.5-pro,,,dialogues/case_12__rule_based__baseline__leg_a.json
D49eb4e9c78,case_14,socratic,hybrid,leg_b,4,4,2,5,4,4,2,4,2,5,5,5,gemini,gemini-2.5-pro,,,dialogues/case_14__socratic__hybrid__leg_b.json
D874b27799b,case_11,constructive,baseline,leg_a,2,3,2,5,4,3,3,4,3,5,4,3,gemini,gemini-2.5-pro,,,dialogues/case_11__constructive__baseline__leg_a.json
D5687492ce0,case_8,constructive,baseline,leg_b,2,2,2,5,3,4,2,3,3,5,4,5,gemini,gemini-2.5-pro,,,dialogues/case_8__constructive__baseline__leg_b.json
D7e73b02c29,case_7,rule_based,pure_cbr_tpl,leg_b,1,1,1,3,3,1,1,1,1,5,4,1,gemini,gemini-2.5-pro,,,dialogues/case_7__rule_based__pure_cbr_tpl__leg_b.json
D3e50bc97a3,case_10,rule_based,hybrid,leg_a,2,1,2,2,1,4,1,1,1,1,1,4,gemini,gemini-2.5-pro,,,dialogues/case_10__rule_based__hybrid__leg_a.json
Da7fc826cb2,case_4,rule_based,baseline,leg_a,2,2,2,5,3,5,1,1,2,5,4,3,gemini,gemini-2.5-pro,,,dialogues/case_4__rule_based__baseline__leg_a.json
D5c34024cef,case_7,rule_based,baseline,leg_b,2,1,2,5,4,5,3,1,2,5,5,5,gemini,gemini-2.5-pro,,,dialogues/case_7__rule_based__baseline__leg_b.json
D64fa921380,case_21,rule_based,pure_cbr_tpl,leg_a,1,1,1,2,1,1,1,1,1,4,1,1,gemini,gemini-2.5-pro,,,dialogues/case_21__rule_based__pure_cbr_tpl__leg_a.json
D775fd7b213,case_16,experiential,baseline,leg_a,2,3,2,5,3,2,3,4,3,5,4,5,gemini,gemini-2.5-pro,,,dialogues/case_16__experiential__baseline__leg_a.json
D26cbb1eeda,case_14,constructive,pure_cbr_llm,leg_a,2,2,2,4,3,2,2,1,2,5,1,4,gemini,gemini-2.5-pro,,,dialogues/case_14__constructive__pure_cbr_llm__leg_a.json
Dc04b604b87,case_7,socratic,pure_ai,leg_b,4,4,3,5,4,5,5,5,5,5,5,5,gemini,gemini-2.5-pro,,,dialogues/case_7__socratic__pure_ai__leg_b.json
D1d4f1c610c,case_8,traditional,pure_cbr_llm,leg_a,2,2,2,5,2,3,2,2,2,5,3,2,gemini,gemini-2.5-pro,,,dialogues/case_8__traditional__pure_cbr_llm__leg_a.json
D74ccde6f9c,case_23,traditional,pure_cbr_llm,leg_b,3,2,2,5,4,2,2,2,1,4,3,2,gemini,gemini-2.5-pro,,,dialogues/case_23__traditional__pure_cbr_llm__leg_b.json
D8f2312eb62,case_0,socratic,hybrid,leg_a,2,2,2,5,1,4,2,3,1,5,1,5,gemini,gemini-2.5-pro,,,dialogues/case_0__socratic__hybrid__leg_a.json
D18353ffae9,case_7,experiential,pure_cbr_llm,leg_b,2,3,2,4,4,3,3,3,2,2,3,3,gemini,gemini-2.5-pro,,,dialogues/case_7__experiential__pure_cbr_llm__leg_b.json
De8ee373b7f,case_6,constructive,pure_cbr_llm,leg_a,4,3,3,5,4,4,5,4,5,5,5,5,gemini,gemini-2.5-pro,,,dialogues/case_6__constructive__pure_cbr_llm__leg_a.json
